Volume of imports of major arms by the top 10000 largest recipients  1950-1980;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:54 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-1980,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1950-1980, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,Germany,,,,,,16,1560,2230,2774,1482,2036,2093,2501,3312,3828,3515,3387,1385,1249,1233,1257,2240,796,1721,2141,1831,1357,1012,661,65,150,45832,5.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,Iran,20,6,0,1,20,35,29,54,93,75,141,75,83,105,139,496,601,553,917,950,899,2099,1375,2051,2855,5229,4653,5482,3724,526,278,33562,4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,China,2626,2246,3478,3143,3499,1804,2266,2143,2795,3176,2357,952,415,450,485,257,225,144,180,,1,1,1,1,1,1,1,72,83,8,4,32814,4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,India,140,253,103,401,334,396,305,925,1069,902,544,1148,402,695,794,1004,961,1132,1372,1366,963,2019,2093,1511,1331,1528,1942,2375,1195,1200,1768,32169,3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,Poland,195,590,804,1037,1980,1060,710,1105,1093,1031,889,864,685,1020,1572,1162,1004,781,927,992,859,1009,958,1110,1060,887,1102,1023,1186,1187,1119,31003,3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,Egypt,152,46,1,2,135,729,1203,998,394,273,164,544,685,741,851,962,1540,2241,1276,1242,1983,1982,3255,2607,1108,566,159,410,136,631,1016,28032,3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,East Germany (GDR),26,,181,102,10,10,643,1096,945,593,402,205,764,767,991,924,1341,1191,1258,835,833,574,992,1059,937,564,1320,1096,1141,969,894,22665,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,Syria,109,1,20,18,9,108,148,473,122,37,38,27,35,89,65,100,525,905,829,875,870,735,1517,3282,3410,1411,527,931,871,2045,1867,22000,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,Italy,196,278,937,1315,308,578,941,739,398,424,409,427,886,1219,1141,736,412,107,196,611,685,1104,1766,1023,1121,1016,711,517,682,591,468,21942,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,Czechoslovakia,90,255,715,1615,1010,1062,573,203,562,840,534,663,543,585,573,692,690,754,868,846,743,1100,956,1058,1087,837,213,300,560,498,470,21493,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,152,371,540,534,733,1767,1647,1848,3054,4222,3067,2951,21044,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,Israel,53,97,73,68,2,120,754,132,141,222,164,88,279,368,415,447,460,229,926,1365,1189,1413,963,2182,1032,1184,2004,1227,1224,709,1253,20782,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,Japan,,,8,223,280,412,765,1023,1178,666,790,335,263,239,1716,1155,324,610,557,488,502,605,493,468,733,1597,1475,788,901,920,1029,20541,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,Soviet Union,36,,,8,70,945,1538,1500,1500,975,692,175,174,237,463,485,585,577,543,578,523,525,795,583,957,771,800,876,803,842,767,19322,2.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,Canada,264,294,1025,1889,1248,1400,751,731,242,317,171,1576,1220,1012,742,563,306,237,336,516,623,457,376,78,229,195,53,90,130,193,442,17705,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,United States,313,595,775,1215,1796,1792,1971,1211,591,546,181,198,236,283,358,170,89,88,62,50,38,578,769,656,586,388,499,384,369,253,380,17418,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,Turkiye,100,119,337,171,172,445,307,616,532,904,581,322,266,586,839,603,525,593,418,628,396,941,1094,790,1279,640,358,293,984,917,486,17240,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,Iraq,,,59,50,17,57,99,41,188,174,176,130,278,201,321,248,341,364,392,418,185,187,645,1846,1425,1113,1137,1073,1796,1395,2252,16606,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,North Korea,885,406,235,718,285,371,456,468,874,619,405,69,181,197,168,118,832,846,1308,609,649,1502,482,535,793,561,487,297,354,313,487,16509,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,Netherlands,158,454,423,972,784,722,1110,717,455,146,255,227,294,767,1014,815,204,751,288,569,699,698,650,21,40,108,285,606,717,792,645,16386,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
