Volume of imports of major arms by the top 10000 largest recipients  1980-2024;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:23 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1980-2024,,Recipient,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1980-2024, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,India,1768,2124,2649,2641,2434,2996,4240,3919,3854,3676,2832,1875,1189,737,873,1358,831,1683,797,1216,988,1050,1902,2798,2246,1202,1487,2300,1643,1958,2897,3625,4506,5302,3282,2733,2651,2682,1982,3202,2670,3958,2701,1540,1603,106601,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,Saudi Arabia,1085,1816,2223,1819,824,1314,2842,2010,784,1382,2041,1039,1150,2353,981,985,1727,2791,2889,1579,104,59,559,158,1157,166,207,229,389,828,1109,1176,835,1686,2717,3474,2909,3852,2944,3033,2241,1747,3053,1326,1238,70826,5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,Japan,1029,1308,1444,1692,2051,1966,1893,1942,1998,2283,2682,2940,2519,2130,1016,1255,876,843,1489,1257,497,427,442,458,399,375,469,553,990,990,658,300,239,341,316,343,332,446,764,992,929,1009,1466,852,1043,50246,3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,China,4,,5,16,62,104,11,47,97,163,267,439,1184,1230,304,701,1496,940,375,1722,2473,2755,2830,2326,3236,3467,2831,1699,1784,1382,940,1033,1542,1221,1033,1190,1209,1546,2254,1571,775,685,646,428,71,50093,3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,South Korea,877,872,673,496,524,760,857,773,1237,1835,1201,908,782,1011,1005,1952,1971,1219,1417,1638,1393,768,519,767,1061,801,1658,1730,1691,798,1299,1568,1077,189,742,268,1038,962,1030,1605,1273,812,423,218,1031,46726,3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,Egypt,1016,1195,2508,1695,1506,955,1465,1634,449,319,563,887,973,1258,2027,1704,969,1051,483,517,833,824,717,633,660,833,695,660,326,95,689,653,308,719,430,1443,1653,2480,1637,1088,1398,1299,742,1152,128,45266,3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,Turkiye,486,726,478,503,549,678,472,1429,1628,1026,1241,1285,1872,2326,1888,1564,1488,1509,2623,1734,1181,501,878,327,252,1076,524,675,623,714,469,794,1482,769,1529,446,324,427,476,742,110,249,187,679,381,41320,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,Iraq,2252,2580,3259,3375,4581,3909,3393,3474,1918,1513,818,,,,,,,,,,,,,,49,195,306,299,379,418,480,623,523,375,629,1488,1831,945,454,144,5,,55,30,80,40380,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,Pakistan,900,491,544,784,863,751,280,617,412,974,635,511,352,992,862,368,506,691,699,867,175,412,566,645,471,427,324,693,1072,1195,2232,1178,1024,1112,877,771,872,870,893,654,624,984,1529,2199,1068,35964,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,United States,380,531,248,463,381,655,424,1998,1788,1783,363,515,540,968,951,809,601,610,262,220,333,508,515,630,596,582,706,842,936,939,969,937,1138,767,568,482,447,504,379,882,806,922,846,891,1053,32668,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,Australia,409,449,134,637,635,510,815,594,745,695,356,219,364,448,262,64,597,35,542,678,326,1215,638,765,447,458,721,618,430,805,1558,1582,787,220,848,1445,1012,1664,1553,1159,1632,1218,809,376,1077,32549,2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
